,LGA,Year,EGM,Median House Price,Offence Count,"Rate per 100,000 population",Travel time to GPO (minutes),Area (km^2),ARIA+ (min),ARIA+ (max),ARIA+ (avg),Commercial (km^2),Industrial (km^2),Residential (km^2),Rural (km^2),Other (km^2),"2012 ERP age 0-4, persons","2012 ERP age 5-9, persons","2012 ERP age 10-14, persons","2012 ERP age 15-19, persons","2012 ERP age 20-24, persons","2012 ERP age 25-44, persons","2012 ERP age 45-64, persons","2012 ERP age 65-69, persons","2012 ERP age 70-74, persons","2012 ERP age 75-79, persons","2012 ERP age 80-84, persons","2012 ERP age 85+, persons","2012 ERP, total","2007 ERP age 0-4, persons","2007 ERP age 5-9, persons","2007 ERP age 10-14, persons","2007 ERP age 15-19, persons","2007 ERP age 20-24, persons","2007 ERP age 25-44, persons","2007 ERP age 45-64, persons","2007 ERP age 65-69, persons","2007 ERP age 70-74, persons","2007 ERP age 75-79, persons","2007 ERP age 80-84, persons","2007 ERP age 85+, persons","2007 ERP, total",Public Hospitals,Private Hospitals,Community Health Centres,Bush Nursing Centres,Allied Health,Alternative Health,Child Protection and Family,Dental,Disability,General Practice,Homelessness,Mental Health,Pharmacies,Aged Care (High Care),Aged Care (Low Care),Aged Care (SRS),Kinder and/or Childcare,Primary Schools,Secondary Schools,P12 Schools,Other Schools,Centrelink Offices,Medicare Offices,Medicare Access Points,Number of Households,Occupied private dwellings,Population in non-private dwellings,Public Housing Dwellings,Dwellings with no motor vehicle,Dwellings with no internet,Equivalent household income <$600/week,"Personal income <$400/week, persons",Number of families,Female-headed lone parent families,Male-headed lone parent families,% residing near PT,IRSD (min),IRSD (max),IRSD (avg),Primary school students,Secondary school students,TAFE students,University students,"Holds degree or higher, persons","Did not complete year 12, persons","Unemployed, persons","Volunteers, persons","Requires assistance with core activities, persons","Aged 75+ and lives alone, persons","Unpaid carer to person with disability, persons","Unpaid carer of children, persons","Aboriginal or Torres Strait Islander, persons","Born overseas, persons","Born in non-English speaking country, persons","Speaks LOTE at home, persons","Poor English proficiency, persons",Travel time to nearest public hospital,Time to nearest public hospital with maternity services,"Presentations to emergency departments, 2012-13",Travel time to nearest public hospital with emergency department,Presentations to emergency departments due to injury,Category 4 & 5 emergency department presentations,Number of Dwellings,Population,Location_x,Location_y,ABS remoteness category
173,greatergeelong,2014,111628148.0,415601.4617505349,18635.0,8077.091706664377,62.29856820919231,1399.3034942065206,0.1596251655420319,0.2304365185722394,0.1883640492090047,0.00241907771303,0.0265885872602994,0.08949145350794,0.6553113224297157,0.2261895590890146,0.0613096739610266,0.0600523428138992,0.0607578671879926,0.0663389985495364,0.0676712177587185,0.2581470328561518,0.2552421643438229,0.0505927981333165,0.0384451661726682,0.0308696474743015,0.0259033865169956,0.0246697042315696,253712.0,0.0600485116953129,0.0624607559277454,0.0675733852497993,0.0714511845134431,0.0679552487354128,0.2646279610518688,0.2495135453937575,0.0414957831014557,0.0359212372198779,0.0329564832971269,0.0255818642113151,0.0204140396028841,278168.0116984,7.88295390048559e-06,1.970738475121397e-05,2.7590338651699563e-05,0.0,0.0006227533581383,0.0001773664627609,3.547329255218515e-05,0.0001813079397111,0.0002167812322633,0.0002404300939648,5.912215425364192e-05,0.0002995522482184,0.0001970738475121,0.0048125433562464,0.0045799962161821,0.0012928044396796,0.0002167812322633,0.0002522545248155,6.306363120388472e-05,3.941476950242795e-05,1.576590780097118e-05,7.88295390048559e-06,1.1824430850728385e-05,3.941476950242795e-06,98432.0,0.8725106765565296,0.0537019554956169,0.0695347269049224,0.0629534726904922,0.1953967183636772,0.366313800390117,0.7822659297789337,65433.0,0.1443614078523069,0.0305044855042562,0.0076485503249205,897.6918500218414,1079.2544517619249,993.2238817849616,0.0753649807655924,0.0649043009396481,0.0232350066216812,0.0349372516869521,0.1231908620798385,0.3944748376111496,0.0256590149460805,0.1455075045721132,0.0539982342183262,0.0266010279371886,0.0954783376426814,0.2252002270290723,0.0084387021504698,0.152062180740367,0.0911821277669168,0.0936573752916693,0.0142720880368291,12.444650808985962,12.444650808985962,0.2486502274115059,12.444650808985962,0.234117276894079,0.5742985608520615,111225.0,253712.0,-48.87723171300456,-36.68991184240461,0
174,colacotway,2014,10074894.08,267730.76923076925,2205.0,5884.569447590754,155.59969483783334,6949.122615346827,1.5681908202515853,2.174351283917247,1.84731348975228,0.0002701320315666,0.0005219356931449,0.0064569322734089,0.7383857662013067,0.2543652338005728,0.0627663998336625,0.0637540284852895,0.0685102401497037,0.0683283085559829,0.04849776484042,0.2195134629379353,0.2750025990227674,0.0579322174862251,0.0453009668364694,0.03690612329764,0.027549641334858,0.0259382472190456,38476.0,0.0597064034389102,0.0668019942069605,0.0727064161872478,0.0730214447984669,0.0524821763329186,0.2389911113501896,0.2656581439685268,0.0475765372894079,0.0398848824799826,0.0347698782359886,0.0265437432636363,0.0218572684477638,75447.9080742,0.0001559413660463,2.5990227674394427e-05,5.198045534878885e-05,0.0,0.0019752573032539,0.0002858925044183,5.198045534878885e-05,0.0001559413660463,0.000857677513255,0.000467824098139,0.0001559413660463,0.0005198045534878,0.0002079218213951,0.0050680943965069,0.007381224659528,0.0,0.000467824098139,0.0005717850088366,0.0001039609106975,0.0001819315937207,5.198045534878885e-05,0.0002079218213951,2.5990227674394427e-05,0.0,15138.0,0.7628538271355769,0.0505070891568696,0.0436449871335587,0.0449568595791916,0.2242292749381906,0.4210595851499538,0.7888096181794161,9962.0,0.1160409556313993,0.0295121461553904,0.0026380214781833,834.4944160374114,1047.6129741256314,975.202877409311,0.0824929826385279,0.0732404615864435,0.0219357521571888,0.0115136708597567,0.0762293377689988,0.4808452022039713,0.0159839900197525,0.2115604532695706,0.0580881588522715,0.0312142634369477,0.0981650899261877,0.2274144921509512,0.0085767751325501,0.0704075267699345,0.0288231624909034,0.0212080257823058,0.0043923484769726,17.334360756670055,33.78905457301,0.0878207367298835,73.76088616478889,0.321982724365149,0.5217320658749622,19819.0,38476.0,-143.76062415572602,-63.45961723849099,1
175,moorabool,2014,10309883.23,333450.0,2537.0,5485.399100150163,67.83638583896317,3529.342662244413,0.4447824718252219,0.9560870112699112,0.6905794666340862,0.0003777963911165,0.00147540460419,0.0254181808433282,0.7047087147351943,0.268019903426171,0.0649593905433482,0.0660139772083359,0.0642353459673865,0.0697916010829188,0.0605679027891456,0.2433891582194799,0.2844550777560914,0.0522728703645407,0.0353365233268274,0.0245545551847887,0.0175659510168104,0.0168576465403261,63532.0,0.0636079884149963,0.0703654332841697,0.0771137245232638,0.0779614705815008,0.0649379053937209,0.2592644275793501,0.2650638505865641,0.0375685216130818,0.0290731136310527,0.0237633011205172,0.0174094218409779,0.0138708414308042,92541.23026054444,4.722029843228609e-05,1.5740099477428697e-05,3.1480198954857394e-05,0.0,0.0012906881571491,4.722029843228609e-05,6.296039790971479e-05,9.444059686457218e-05,0.0003462821885034,0.0002833217905937,0.0001259207958194,0.0001888811937291,0.0001574009947742,0.0017943713404268,0.0029119184033243,0.0031795000944405,0.0001259207958194,0.0006138638796197,3.1480198954857394e-05,1.5740099477428697e-05,0.0,3.1480198954857394e-05,0.0,0.0,23844.0,0.8582556785090274,0.0567122888759464,0.0425160163075131,0.0409143855562026,0.1799650553290623,0.3754403623553095,0.8119862439188056,16524.0,0.1284192689421447,0.0317719680464778,0.0026715914622182,896.139662305227,1071.3220282377686,1004.5151263603276,0.081879997481584,0.0675879871560788,0.0151577157967638,0.0398696719763268,0.118412768368696,0.4008845935906315,0.0253258200591827,0.1791852924510482,0.0455990681861109,0.0188094188755272,0.0953850028332179,0.2282629226216709,0.0096644210791412,0.1112825033054208,0.0484480261915255,0.0387678650129068,0.0046905496442737,16.103121579934736,22.44516659597789,0.255748382614698,34.70976131328948,0.2990667907408893,0.6084769773838461,27472.0,63532.0,-69.11785854805849,32.16127004986686,1
176,centralgoldfields,2014,10384719.19,263857.14285714284,2109.0,6719.777158943595,107.4848690745,3732.502132032456,0.8284005353380033,1.449899481747252,1.082496898582416,0.0002462605731217,0.0021664880836665,0.0133812687374613,0.765259023191179,0.2189469594145715,0.049461814454126,0.0545019648043738,0.0574064582265504,0.0596275414317444,0.0399794976934905,0.1934620422575317,0.3124038954382368,0.0730109915143231,0.058915655789054,0.0423714334529301,0.02864627826186,0.0302124266757788,35118.0,0.0503027678706087,0.0601500589006672,0.0703501162225136,0.0638214376066246,0.0398614965256301,0.2174928429652509,0.3085503971911925,0.0547462521223502,0.0428835183528547,0.0339464436716379,0.0303551056258251,0.0275395629448442,36443.62995919999,0.000142377128538,0.0,0.000142377128538,0.0,0.0021071815023634,0.000512557662737,5.695085141522866e-05,0.0002847542570761,0.0002562788313685,0.0005695085141522,0.0002278034056609,0.0008542627712284,0.0002562788313685,0.0047269206674639,0.0057805114186457,0.0008542627712284,0.0003986559599066,0.0008257873455208,5.695085141522866e-05,8.542627712284299e-05,0.0,0.0001708525542456,0.0,0.0,14945.0,0.8394193694715355,0.061295078249036,0.0439442050351553,0.0530732592424586,0.2572011794057609,0.5108732017397123,0.8788892606222817,9241.0,0.1369981603722541,0.0328968726328319,0.0031831440421202,821.0984320529352,1027.0319425210623,946.327957747706,0.0696793667065322,0.0624466085767982,0.0179964690472122,0.0168859274446152,0.1066974201264309,0.4657155874480324,0.0231220456745828,0.2243863545760009,0.0628737399624124,0.0354803804316874,0.1123355544165385,0.201634489435617,0.0105359075118173,0.0924027564212085,0.033145395523663,0.0185375021356569,0.0018509026709949,9.1350206115675,15.138019358738084,0.1123485068766444,54.851359155875,0.2928454181336021,0.4687033297227096,17636.0,35118.0,-89.84810326725223,83.84984649063189,1
177,mitchell,2014,17680395.37,277315.7894736842,4531.0,7407.723132647035,90.47371402732308,9937.764781555485,0.9832786718445284,1.5443526259560107,1.2214237927582523,0.0002133734550679,0.0006195975063942,0.0080768096136851,0.5169416257938698,0.474148593630983,0.0653902898132917,0.0654072478760026,0.070155505435059,0.0711221150095813,0.0538079329817361,0.2433142837762214,0.2784513897132392,0.0541640522986654,0.0371551153996167,0.0262849972019196,0.0185012464176092,0.0162458240770574,58969.0,0.0687133945727608,0.0695705845576226,0.0761821710717341,0.0718571294550248,0.052199694489922,0.2622776965680474,0.270991421980783,0.0416875186758419,0.031913918636326,0.0253566714762195,0.0162683549473315,0.0129814435683859,67190.68598227143,8.479031355457952e-05,0.0,0.0001356645016873,0.0,0.0013905611422951,8.479031355457952e-05,3.391612542183181e-05,0.0001187064389764,0.0002713290033746,0.0003561193169292,0.00018653868982,0.0004917838186165,0.0001526225643982,0.0028828706608557,0.0037816479845342,0.0,0.0003391612542183,0.0005256999440383,0.0001017483762654,6.783225084366361e-05,1.6958062710915903e-05,8.479031355457952e-05,0.0,3.391612542183181e-05,21418.0,0.7661298960974042,0.1339665083729067,0.0437033598743171,0.0324561716713678,0.1639233048880637,0.3713698758053973,0.80857222896629,14951.0,0.1278175372884757,0.0282255367533944,0.0019574092888575,913.519435240878,1062.5696698220022,997.078375604968,0.0802964269361868,0.0729705438450711,0.0197052688700842,0.0152792145025352,0.0833488782241516,0.4264613610541132,0.0213332428903322,0.1767538876358765,0.0462955112008004,0.0171785175261578,0.0898607743051433,0.2190981702250335,0.0100900473129949,0.1054791500618969,0.0505350268785294,0.0449897403720599,0.0050704607505638,22.333882389378463,33.952185210134616,0.1524677932087707,62.73754446416154,0.2698505748973573,0.4318174478920851,28007.0,58969.0,36.61821003587524,58.51064406421535,1
178,alpine,2014,3119936.04,228444.44444444444,663.0,3615.612105780698,262.15861079061114,12672.409204325486,2.009197924980048,3.76694998669859,2.820244296421271,3.605248648490687e-05,0.0001904191483685,0.0021154318974063,0.2999028335358138,0.6977552629319264,0.0512547663385652,0.060388401170524,0.062161922497118,0.0600336969052052,0.038396736720759,0.2020927551653808,0.3167952469628447,0.068324909107032,0.0504566817415979,0.0378646803227808,0.0271348762968874,0.0250953267713044,22554.0,0.0684931506849315,0.0630136986301369,0.0520547945205479,0.073972602739726,0.0383561643835616,0.2301369863013698,0.3671232876712328,0.0356164383561643,0.0191780821917808,0.0136986301369863,0.0246575342465753,0.0136986301369863,6570.0,0.0002216901658242,0.0,0.000266028198989,4.4338033164848805e-05,0.0019065354260884,0.0001773521326593,0.0,4.4338033164848805e-05,0.0003103662321539,0.0004877183648133,0.0,0.0002216901658242,0.000266028198989,0.006429014808903,0.0054979161124412,0.001152788862286,0.0001330140994945,0.0010641127959563,0.0001330140994945,0.0001773521326593,0.0,0.0001330140994945,0.0,0.0,9021.0,0.7209845884157475,0.3393470162880724,0.0200861880067197,0.0452852238696954,0.1790227156526185,0.439308280678417,0.8205298747367255,5953.0,0.0925583739291113,0.0305728204266756,0.000425709586119,949.2270221231912,1045.1153960288195,996.1972311752872,0.0769708255741775,0.0693446838698235,0.0208388755874789,0.0125476633856522,0.1001596169193934,0.4698057994147379,0.0206615234548195,0.2547220005320564,0.0513434424048949,0.0277999467943602,0.0988294759244479,0.2059058260175578,0.0105081138600691,0.1176288019863438,0.0621175844639531,0.0586148798439301,0.0091779728651237,28.690645261707942,46.287498010572776,0.1554428326813425,90.58387017938888,0.2833802122051827,0.6094517170915695,13691.0,22554.0,199.7208846883917,121.5481146672744,2
179,benalla,2014,10150100.66,243545.45454545456,3080.0,5809.5341026646,152.95647700153043,9197.66746221638,1.4805875046578063,1.9577889170821725,1.6973355312842295,0.0004146555347403,0.0019336623631896,0.0076392171869743,0.8265232948152816,0.163489170099814,0.0569760633106801,0.0597618751885302,0.0619089021771918,0.062955799634473,0.04301151587203,0.1999041822666217,0.2864063026775733,0.0671256454388984,0.0547403161985201,0.0409886970562663,0.0338555991269939,0.0323651010522206,56357.0,0.0503037214131582,0.057904844068053,0.0733882006218915,0.0655607196457073,0.0446946829946826,0.20541402953487,0.2974052213559892,0.0555200693617261,0.047339169321382,0.0398468993505818,0.0330425395381454,0.0295799027938125,95714.80746354,8.872012349841191e-05,3.548804939936476e-05,8.872012349841191e-05,0.0,0.0020760508898628,5.323207409904714e-05,1.774402469968238e-05,0.0001419521975974,0.0003548804939936,0.0004081125680926,0.0001242081728977,0.0002839043951949,0.0002484163457955,0.0063346168177866,0.0085881079546462,0.0005678087903898,0.0002661603704952,0.0006387848891885,0.0001242081728977,5.323207409904714e-05,3.548804939936476e-05,8.872012349841191e-05,0.0,1.774402469968238e-05,22796.0,0.840482177192723,0.0521742345806833,0.055687028546073,0.0479958586007987,0.2525883745008135,0.4612212668889279,0.8501491489735041,14931.0,0.1228986672024646,0.0256513294487978,0.0025223262202879,799.0869968520819,1039.9548120398915,955.0398806524788,0.0748975282573593,0.0654754511418279,0.0196958674166474,0.0099721418812214,0.0695210887733555,0.500949305321433,0.021115389392622,0.2064517273808045,0.0653157549195308,0.0304310023599552,0.1026314388629629,0.2007558954522064,0.0138403392657522,0.0849406462373795,0.0416629699948542,0.0361268342885533,0.006032968397892,16.239401262847608,27.353083906314783,0.1972622671665631,49.7493684980913,0.2767123074744864,0.5342780314748882,27044.0,56357.0,105.08221643893998,132.3430860041574,1
180,campaspe,2014,8884033.85,174166.66666666666,3494.0,7298.594620127384,189.07453389285715,5028.82778968127,1.5314399030063908,1.8945229435094424,1.690766446797035,0.0006979271801312,0.0013734608651333,0.0095268723806037,0.8637713304885724,0.1246304090855593,0.0593469370980005,0.0632513408544479,0.0692723424367589,0.067566734479995,0.0474487803875634,0.2096664817212255,0.2762879395022912,0.0618539752995088,0.0499558185890717,0.0381809588393646,0.0293857756406304,0.0277829151511415,48663.0,0.0611716832786221,0.0719704650681278,0.0914042251402188,0.0661641150501598,0.0401668203068294,0.220242256554957,0.2743898866603999,0.0566218206700517,0.0368611463129806,0.0337186988593312,0.0269695997543126,0.0203192823440087,59948.667282,0.0001232969607299,0.0,0.0001849454410948,2.054949345498633e-05,0.0028358300967881,0.0002465939214598,2.054949345498633e-05,0.0002054949345498,0.0004931878429196,0.0007192322709245,0.0002465939214598,0.0006986827774695,0.0003082424018247,0.0047674824815568,0.007438916630705,0.0,0.0005137373363746,0.0007192322709245,0.0001027474672749,0.0001027474672749,2.054949345498633e-05,0.0001849454410948,2.054949345498633e-05,0.0,19354.0,0.8699014199149859,0.0513249525187663,0.0720810346386904,0.0516867142986343,0.2638599981911911,0.4559780923840033,0.8332644414591299,12919.0,0.1244678380679619,0.0286399876151404,0.0020767066052509,806.9466003150811,1040.2480931129785,957.2535849878165,0.0817253354704806,0.0718204796251772,0.0191315784065922,0.0095966134434786,0.0636212317366377,0.5111070012124201,0.0201385035858866,0.2091527443848509,0.060148367342745,0.0326736945934282,0.0996239442697737,0.2203522183178184,0.0221729034379302,0.0576002301543266,0.0270842323736719,0.0220496064772003,0.0046852845077368,15.634500803835047,20.62032565600409,0.3456722153937694,42.85885602437505,0.2195010124327173,0.6575125428625389,22114.0,48663.0,-44.44594721611685,184.25438951404897,1
181,glenelg,2014,12746480.8,192571.42857142855,2683.0,7450.712476174388,271.19481008592857,13693.782693460384,2.5172907442546912,3.435550987420058,2.920257386558308,7.798034317354342e-05,0.0006961109027947,0.0033919811912267,0.7845618338204393,0.2112720937423657,0.0548176259751212,0.0619158057488228,0.0651135005973715,0.0708412397216951,0.0421322650924168,0.2051092838569119,0.2973856209150327,0.0619860847564832,0.0463490055520416,0.0360882704336214,0.0309227633705812,0.0273385339799002,28458.0,0.0604522326360913,0.0641635712305396,0.0734993775996297,0.0765465404384937,0.0508681793431742,0.2296750905821694,0.276492541141154,0.0441939952447218,0.0382027962127032,0.0353125183024513,0.0261228783168229,0.0244702789520484,46699.88569423333,0.0002108370229812,0.0,7.027900766041184e-05,0.0001405580153208,0.0015812776723592,7.027900766041184e-05,7.027900766041184e-05,0.0002108370229812,0.0002811160306416,0.0003865345421322,0.0001054185114906,0.0002811160306416,0.000175697519151,0.00513036755921,0.0072387377890224,0.0,0.000351395038302,0.0008784875957551,0.0001054185114906,0.000175697519151,3.513950383020592e-05,0.000175697519151,3.513950383020592e-05,0.0,11779.0,0.8369930620127316,0.0601530648737572,0.0353336671196624,0.0452757313496888,0.2485516057506616,0.4304270311571441,0.8034637914933356,7674.0,0.0978629137346885,0.0252801667969768,0.0025467029936343,882.0858120276298,1059.9656533685277,988.9270430822132,0.0798369527022278,0.0794152786562653,0.0210134232904631,0.0108581066835336,0.0828940895354557,0.4973645372127345,0.0186590765338393,0.2645301848337901,0.057347670250896,0.0352449223416965,0.0984960292360671,0.2142104153489352,0.0146180335933656,0.0693302410569962,0.0228406774896338,0.0147937311125166,0.0027760208025862,18.7937838499025,29.461983986175717,0.2625240135983203,51.02090528876285,0.3100791022155421,0.6103085175462831,13981.0,28458.0,-285.17012765951466,7.763006770834713,2
182,wellington,2014,21566360.32,202875.0,3902.0,9085.4,189.3044663465625,9650.56158918771,1.688255786260203,2.831330027929937,2.1246734858211664,0.0001836505108452,0.0015192496300165,0.0047593323874943,0.4156520053808243,0.5778857620908195,0.0593240522224868,0.0619438370104141,0.0652997596726351,0.0682443111698096,0.0517678134540022,0.2307575724771039,0.2868989109489683,0.0572671963972546,0.0429774611903782,0.0304414662134366,0.023924480914543,0.021153138328967,46187.0,0.0576411124513779,0.0612486756722104,0.0682341892577063,0.0698630413186916,0.0594973789652161,0.2514922076975255,0.2757976788180231,0.0470357975431242,0.0364186523868036,0.0329168728888154,0.0228644637341986,0.0169899292663068,86397.6134916,6.495334184943815e-05,2.165111394981272e-05,6.495334184943815e-05,0.0,0.001385671292788,6.495334184943815e-05,8.660445579925087e-05,0.0001732089115985,0.0003680689371468,0.0003031155952973,8.660445579925087e-05,0.0003031155952973,0.0002598133673977,0.0038972005109662,0.0041786649923138,0.0001299066836988,0.0004330222789962,0.0007361378742936,8.660445579925087e-05,2.165111394981272e-05,2.165111394981272e-05,8.660445579925087e-05,2.165111394981272e-05,0.0,18007.0,0.7350189943221274,0.0638045831461133,0.0522854458559699,0.0439933009272497,0.1866753809076426,0.4264452712833897,0.8215138557227745,11973.0,0.1238620228848241,0.0277290570450179,0.002641905639819,839.1386841798943,1057.723296492406,969.1103421664512,0.0779223591053759,0.0672267088141684,0.0191395847316344,0.0140299218394786,0.0757572477103947,0.4666897611882131,0.0237729231168943,0.1881265291099227,0.0568558252322081,0.0271721480070149,0.0999415419923355,0.2143676792170957,0.01502587308117,0.1024314200965639,0.0481953796522831,0.0272154502349145,0.0040704094225647,43.59137748720913,55.9046000842875,0.4245185257233637,59.53215651616875,0.2671071551333312,0.6791061481566281,24481.0,46187.0,176.91922553917362,-30.25590887136489,1
